NOMBRE;DEPORTE;TIPO;FECHA;PAIS;LUGAR;;
MOTOCICLISMO;CALENDARIO NACIONAL;CALENDARIO NACIONAL;11/11/2018 0:00;Colombia;HUILA;;
AUTOMOVILISMO;NACIONAL;NACIONAL;11/10/2018 0:00;Colombia;Santander;;
ESQUI;CALENDARIO UNICO;CALENDARIO UNICO;11/10/2018 0:00;Colombia;BOGOTA;;
TEJO;CALENDARIO NACIONAL;CALENDARIO NACIONAL;11/10/2018 0:00;Colombia;TOCAIMA CUNDINAMARCA;;
ACTIVIDADES SUBACUATICAS;CALENDARIO NACIONAL;CALENDARIO NACIONAL;11/09/2018 0:00;Colombia;CALI;;
ESGRIMA;CALENDARIO NACIONAL;CALENDARIO NACIONAL;11/08/2018 0:00;Colombia;PEREIRA;;
GIMNASIA;;;11/08/2018 0:00;Russia;ST. PETERSBURG - RUSSIA;;
SAMBO;CALENDARIO INTERNACIONAL;CALENDARIO INTERNACIONAL;11/08/2018 0:00;;UCRANIA;;
GIMNASIA;CALENDARIO INTERNACIONAL;CALENDARIO INTERNACIONAL;11/07/2018 0:00;Russia;ST. PETERSBURG - RUSSIA;;
VOLEIBOL;CALENDARIO NACIONAL;CALENDARIO NACIONAL;11/07/2018 0:00;Colombia;ARMENIA;;
TENIS;INTERNACIONAL;INTERNACIONAL;11/05/2018 0:00;Colombia;CUCUTA;;
MOTOCICLISMO;CALENDARIO NACIONAL;CALENDARIO NACIONAL;11/04/2018 0:00;Colombia;ANTIOQUIA;;
ACTIVIDADES SUBACUATICAS;CALENDARIO NACIONAL;CALENDARIO NACIONAL;11/03/2018 0:00;Colombia;Medellin;;
ACTIVIDADES SUBACUATICAS;CALENDARIO NACIONAL;CALENDARIO NACIONAL;11/03/2018 0:00;Colombia;PEREIRA;;
KARATE DO;CALENDARIO INTERNACIONAL;CALENDARIO INTERNACIONAL;11/03/2018 0:00;EspaÃ±a;MADRID - ESPAÃ‘A;;
TRIATLON;CALENDARIO NACIONAL;CALENDARIO NACIONAL;11/03/2018 0:00;Colombia;CALIMA;;
VELA;CALENDARIO NACIONAL;CALENDARIO NACIONAL;11/03/2018 0:00;Colombia;GUATAPÃ‰- ANTIOQUIA;;
ACTIVIDADES SUBACUATICAS;CALENDARIO NACIONAL;CALENDARIO NACIONAL;11/02/2018 0:00;Colombia;CALI;;
BALONMAMO;CALENDARIO NACIONAL;CALENDARIO NACIONAL;11/02/2018 0:00;Colombia;Palmira - Valle - Colombia;;
BALONCESTO;CALENDARIO NACIONAL;CALENDARIO NACIONAL;11/01/2018 0:00;Colombia;BOGOTA;;
BILLAR;CALENDARIO NACIONAL;CALENDARIO NACIONAL;11/01/2018 0:00;Colombia;Colombia/ Cundinamarca;;
