NOMBRE;DEPORTE;TIPO;FECHA;PAIS;LUGAR;;
RUGBY;DEPORTIVO;DEPORTIVO;04/29/2017 12:00:00 AM;COLOMBIA;CALI;;
TENIS DE MESA;DEPORTIVO;DEPORTIVO;04/29/2017 12:00:00 AM;MAYORES;MAYO;;
BOXEO;DEPORTIVO;DEPORTIVO;04/28/2017 12:00:00 AM;GEORGETOWN, GUYANA;GEORGETOWN, GUYANA;;
CANOTAJE;;;04/28/2017 12:00:00 AM;PAIPA,;BOYACA;;
GIMNASIA;ACADÃ‰MICO;ACADÃ‰MICO;04/28/2017 12:00:00 AM;COLOMBIA;CUCUTA;;
GIMNASIA;ACADÃ‰MICO;ACADÃ‰MICO;04/28/2017 12:00:00 AM;COLOMBIA;SOGAMOSO;;
GIMNASIA;ACADÃ‰MICO;ACADÃ‰MICO;04/28/2017 12:00:00 AM;COLOMBIA;MEDELLIN;;
GIMNASIA;ACADÃ‰MICO;ACADÃ‰MICO;04/28/2017 12:00:00 AM;COLOMBIA;SOGAMOSO;;
GIMNASIA;ACADÃ‰MICO;ACADÃ‰MICO;04/28/2017 12:00:00 AM;COLOMBIA;CÃšCUTA;;
GOLF;DEPORTIVO;DEPORTIVO;04/28/2017 12:00:00 AM;COLOMBIA;CARTAGENA;;
JUDO;DEPORTIVO;DEPORTIVO;04/28/2017 12:00:00 AM;PANAMA;CIUDAD DE PANAMA;;
BRIDGE;;;04/27/2017 12:00:00 AM;GUATEMALA;GUATEMALA;;
ECUESTRE;DEPORTIVO;DEPORTIVO;04/27/2017 12:00:00 AM;COLOMBIA;CALI;;
GOLF;DEPORTIVO;DEPORTIVO;04/27/2017 12:00:00 AM;COLOMBIA;BUCARAMANGA;;
GOLF;DEPORTIVO;DEPORTIVO;04/27/2017 12:00:00 AM;COLOMBIA;BOGOTÃ;;
TIRO RIFLES;DEPORTIVO;DEPORTIVO;04/27/2017 12:00:00 AM;COLOMBIA;CALI;;
BOXEO;DEPORTIVO;DEPORTIVO;04/26/2017 12:00:00 AM;CASTRIES, STA. LUCIA;CASTRIES, STA. LUCIA;;
JIU-JITSU;;;04/26/2017 12:00:00 AM;FRANCIA;PARIS;;
SOFTBOL;;;04/26/2017 12:00:00 AM;COLOMBIA;BARRANCABERMEJA;;
TENIS;;;04/26/2017 12:00:00 AM;COLOMBIA;;;
BAILE DEPORTIVO;ACADÃ‰MICO;ACADÃ‰MICO;04/24/2017 12:00:00 AM;COLOMBIA;BOGOTA;;
AUTOMOVILISMO;DEPORTIVO;DEPORTIVO;04/23/2017 12:00:00 AM;COLOMBIA;TOCANCIPA;;
BOWLING;;;04/23/2017 12:00:00 AM;ARUBA;ORANJESTAD;;
ATLETISMO;DEPORTIVO;DEPORTIVO;04/22/2017 12:00:00 AM;BAHAMAS;NASSAU;;
GIMNASIA;ACADÃ‰MICO;ACADÃ‰MICO;04/21/2017 12:00:00 AM;COLOMBIA;BOGOTÃ;;
SOFTBOL;;;04/21/2017 12:00:00 AM;COLOMBIA;MEDELLIN;;
TIRO TRAP AUTOMATICO;DEPORTIVO;DEPORTIVO;04/21/2017 12:00:00 AM;COLOMBIA;TUNJA;;
GOLF;DEPORTIVO;DEPORTIVO;04/20/2017 12:00:00 AM;COLOMBIA;BOGOTÃ;;
JIU-JITSU;DEPORTIVO;DEPORTIVO;04/19/2017 12:00:00 AM;COLOMBIA;VILLAVICENCIO;;
SAMBO;DEPORTIVO;DEPORTIVO;04/19/2017 12:00:00 AM;COLOMBIA;RUSIA;;
SAMBO;;;04/19/2017 12:00:00 AM;COLOMBIA;EUROPA;;
ECUESTRE;DEPORTIVO;DEPORTIVO;04/18/2017 12:00:00 AM;ALEMANIA;HAGEN;;
KARTS;DEPORTIVO;DEPORTIVO;04/18/2017 12:00:00 AM;PASTO - NARIÃ‘O;ABRIL 29 Y 30;;
ARQUERIA;DEPORTIVO;DEPORTIVO;04/17/2017 12:00:00 AM;MEXICO;MONTERREY;;
BOWLING;;;04/17/2017 12:00:00 AM;COLOMBIA;PEREIRA;;
LUCHA;DEPORTIVO;DEPORTIVO;04/17/2017 12:00:00 AM;MEDELLIN;COLOMBIA;;
SAMBO;DEPORTIVO;DEPORTIVO;04/17/2017 12:00:00 AM;RUSIA;KYRGYZSTAN;;
TENIS;;;04/17/2017 12:00:00 AM;PERU;BOGOTA;;
JIU-JITSU;DEPORTIVO;DEPORTIVO;04/16/2017 12:00:00 AM;EMIRATOS ÃRABES;ABU DHABI;;
BRIDGE;;;04/15/2017 12:00:00 AM;BOGOTA;BOGOTA;;
WUSHU;;;04/14/2017 12:00:00 AM;COLOMBIA;MEDELLIN;;
GIMNASIA;ACADÃ‰MICO;ACADÃ‰MICO;04/13/2017 12:00:00 AM;COLOMBIA;SOGAMOSO;;
GIMNASIA;ACADÃ‰MICO;ACADÃ‰MICO;04/13/2017 12:00:00 AM;COLOMBIA;MEDELLIN;;
GIMNASIA;ACADÃ‰MICO;ACADÃ‰MICO;04/13/2017 12:00:00 AM;COLOMBIA;CALI;;
GIMNASIA;ACADÃ‰MICO;ACADÃ‰MICO;04/13/2017 12:00:00 AM;COLOMBIA;CÃšCUTA;;
GIMNASIA;ACADÃ‰MICO;ACADÃ‰MICO;04/13/2017 12:00:00 AM;COLOMBIA;BARRANQUILLA;;
GIMNASIA;ACADÃ‰MICO;ACADÃ‰MICO;04/13/2017 12:00:00 AM;COLOMBIA;BOGOTÃ;;
GIMNASIA;ACADÃ‰MICO;ACADÃ‰MICO;04/13/2017 12:00:00 AM;COLOMBIA;PEREIRA;;
GIMNASIA;ACADÃ‰MICO;ACADÃ‰MICO;04/13/2017 12:00:00 AM;COLOMBIA;BOGOTÃ;;
GOLF;DEPORTIVO;DEPORTIVO;04/13/2017 12:00:00 AM;COLOMBIA;BARRANQUILLA;;
LUCHA;DEPORTIVO;DEPORTIVO;04/13/2017 12:00:00 AM;SIN DEFINIR;COLOMBIA;;
BOWLING;;;4/12/2017 0:00;COLOMBIA;CALI;;
DEPORTES AÃ‰REOS;DEPORTIVO;DEPORTIVO;4/12/2017 0:00;ATLANTICO;BARRANQUILLA - ATLANTICO;;
TENIS DE MESA;;;4/12/2017 0:00;U13 U15 U18 MAYORES;ABRIL;;
TENIS;;;4/11/2017 0:00;COLOMBIA;BOGOTA;;
BOWLING;;;4/10/2017 0:00;EEUU;ORLANDO;;
JUDO;CONCENTRACIÃ“N;CONCENTRACIÃ“N;4/10/2017 0:00;COLOMBIA;BOGOTA;;
SQUASH;;;4/10/2017 0:00;COLOMBIA;SANTANDER;;
TENIS;;;4/10/2017 0:00;COLOMBIA;;;
ATLETISMO;DEPORTIVO;DEPORTIVO;4/09/2017 0:00;COLOMBIA;PUERTO GAITAN;;
SOFTBOL;;;4/09/2017 0:00;COLOMBIA;BUGA;;
ARQUERIA;CONCENTRACIÃ“N;CONCENTRACIÃ“N;4/08/2017 0:00;COLOMBIA;POR CONFIRMAR;;
BOWLING;;;4/08/2017 0:00;COLOMBIA;CALI;;
BOXEO;NACIONAL;NACIONAL;4/08/2017 0:00;COLOMBIA;BARRANQUILLA;;
GIMNASIA;ACADÃ‰MICO;ACADÃ‰MICO;4/08/2017 0:00;COLOMBIA;BOGOTÃ;;
ESQUI NAUTICO;DEPORTIVO;DEPORTIVO;4/08/2017 0:00;COLOMBIA;MEDELLIN;;
GOLF;DEPORTIVO;DEPORTIVO;4/08/2017 0:00;LIMA;PERÃš;;
DEPORTES AÃ‰REOS;DEPORTIVO;DEPORTIVO;4/07/2017 0:00;VALLE;ANSERMA - VALLE;;
ECUESTRE;CONCENTRACIÃ“N;CONCENTRACIÃ“N;4/07/2017 0:00;COLOMBIA;BOGOTA;;
ECUESTRE;DEPORTIVO;DEPORTIVO;4/07/2017 0:00;ARGENTINA;BUENOS AIRES;;
JIU-JITSU;CONCENTRACIÃ“N;CONCENTRACIÃ“N;4/07/2017 0:00;MADRID;ESPAÃ‘A;;
TENIS;;;4/07/2017 0:00;COLOMBIA;PASTO;;
ARQUERIA;DEPORTIVO;DEPORTIVO;4/06/2017 0:00;COLOMBIA;TUNJA;;
GOLF;DEPORTIVO;DEPORTIVO;4/06/2017 0:00;COLOMBIA;BOGOTÃ;;
JUDO;DEPORTIVO;DEPORTIVO;4/06/2017 0:00;COLOMBIA;BOGOTA;;
KARATE;DEPORTIVO;DEPORTIVO;4/06/2017 0:00;ESTADO UNIDOS;LAS VEGAS;;
TENIS;;;4/05/2017 0:00;COLOMBIA;PEREIRA;;
ECUESTRE;DEPORTIVO;DEPORTIVO;4/04/2017 0:00;USA;MIAMI;;
GOLF;DEPORTIVO;DEPORTIVO;4/03/2017 0:00;BRASIL;PORTO ALEGRE;;
TENIS DE MESA;DEPORTIVO;DEPORTIVO;4/03/2017 0:00;MAYORES;BRASIL;;
AUTOMOVILISMO;DEPORTIVO;DEPORTIVO;4/02/2017 0:00;COLOMBIA;TOCANCIPA;;
RUGBY;DEPORTIVO;DEPORTIVO;4/02/2017 0:00;CHINA;CORDOBA;;
BALONCESTO;;;4/01/2017 0:00;COLOMBIA;VARIAS CIUDADES;;
ESQUI NAUTICO;DEPORTIVO;DEPORTIVO;4/01/2017 0:00;COLOMBIA;BOGOTA;;
ESQUI NAUTICO;ACADEMICO;ACADEMICO;4/01/2017 0:00;COLOMBIA;BOGOTA;;
GIMNASIA;ACADÃ‰MICO;ACADÃ‰MICO;4/01/2017 0:00;COLOMBIA;SOGAMOSO;;
GIMNASIA;DEPORTIVO;DEPORTIVO;4/01/2017 0:00;COLOMBIA;BOGOTA;;
GIMNASIA;DEPORTIVO;DEPORTIVO;4/01/2017 0:00;COLOMBIA;BOGOTA;;
TIRO FOSA UNIVERSAL;DEPORTIVO;DEPORTIVO;03/31/2017 12:00:00 AM;COLOMBIA;NILO;;
GOLF;DEPORTIVO;DEPORTIVO;03/30/2017 12:00:00 AM;COLOMBIA;BOGOTÃ;;
TENIS;;;03/29/2017 12:00:00 AM;COLOMBIA;MEDELLIN;;
KARATE;DEPORTIVO;DEPORTIVO;03/27/2017 12:00:00 AM;VENEZUELA;CARACAS;;
AUTOMOVILISMO;DEPORTIVO;DEPORTIVO;03/26/2017 12:00:00 AM;COLOMBIA;TOCANCIPA;;
ATLETISMO;DEPORTIVO;DEPORTIVO;03/25/2017 12:00:00 AM;KAMPALA;UGANDA;;
ECUESTRE;DEPORTIVO;DEPORTIVO;03/25/2017 12:00:00 AM;COLOMBIA;BOGOTA;;
ECUESTRE;DEPORTIVO;DEPORTIVO;03/25/2017 12:00:00 AM;COLOMBIA;BOGOTA;;
ESQUI NAUTICO;DEPORTIVO;DEPORTIVO;03/25/2017 12:00:00 AM;COLOMBIA;BOGOTA;;
JIU-JITSU;;;03/25/2017 12:00:00 AM;COLOMBIA;CALI;;
TIRO SPORTING CLAYS;DEPORTIVO;DEPORTIVO;03/25/2017 12:00:00 AM;COLOMBIA;;;
CANOTAJE;;;03/24/2017 12:00:00 AM;PAIPA,;BOYACA;;
ESQUI NAUTICO;ACADEMICO;ACADEMICO;03/24/2017 12:00:00 AM;COLOMBIA;BOGOTA;;
JUDO;DEPORTIVO;DEPORTIVO;03/24/2017 12:00:00 AM;CHILE;SANTIAGO;;
SAMBO;DEPORTIVO;DEPORTIVO;03/24/2017 12:00:00 AM;COLOMBIA;CALI;;
SAMBO;DEPORTIVO;DEPORTIVO;03/24/2017 12:00:00 AM;KYRGYZSTAN;CALI;;
ECUESTRE;DEPORTIVO;DEPORTIVO;03/23/2017 12:00:00 AM;COLOMBIA;BOGOTA;;
TENIS;;;03/22/2017 12:00:00 AM;COLOMBIA;CALI;;
BOXEO;NACIONAL;NACIONAL;03/20/2017 12:00:00 AM;COLOMBIA;BOGOTA;;
ECUESTRE;DEPORTIVO;DEPORTIVO;03/20/2017 12:00:00 AM;USA;WELLINGTON;;
TIRO RIFLES Y PISTOLAS;DEPORTIVO;DEPORTIVO;03/19/2017 12:00:00 AM;COLOMBIA;CALI;;
ESQUI NAUTICO;DEPORTIVO;DEPORTIVO;03/18/2017 12:00:00 AM;COLOMBIA;CALIMA;;
LUCHA;DEPORTIVO;DEPORTIVO;03/18/2017 12:00:00 AM;SANCTI ESPÃRITUS;CUBA;;
JUDO;DEPORTIVO;DEPORTIVO;03/17/2017 12:00:00 AM;ARGENTINA;BUENOS AIRES;;
TIRO ESCOPETAS;DEPORTIVO;DEPORTIVO;03/17/2017 12:00:00 AM;COLOMBIA;YOPAL;;
JIU-JITSU;;;03/15/2017 12:00:00 AM;GRECIA;ATENAS;;
KARTS;DEPORTIVO;DEPORTIVO;03/14/2017 12:00:00 AM;VILLAVICENCIO - META;MARZO 19 Y 20;;
TENIS;;;03/14/2017 12:00:00 AM;COLOMBIA;SANTIAGO;;
SQUASH;;;03/13/2017 12:00:00 AM;COLOMBIA;FLORIDABLANCA , SANTANDER;;
AUTOMOVILISMO;DEPORTIVO;DEPORTIVO;3/12/2017 0:00;COLOMBIA;TOCANCIPA;;
TENIS;;;3/11/2017 0:00;CHILE;VILLAVICENCIO;;
JUDO;DEPORTIVO;DEPORTIVO;3/10/2017 0:00;PERU;LIMA;;
LUCHA;DEPORTIVO;DEPORTIVO;3/10/2017 0:00;MEDELLIN;COLOMBIA;;
TIRO PISTOLAS;DEPORTIVO;DEPORTIVO;3/09/2017 0:00;COLOMBIA;BARRANCABERMEJA A CARTAGENA;;
JIU-JITSU;ADMINISTRATIVO;ADMINISTRATIVO;3/08/2017 0:00;COLOMBIA;BOGOTA;;
TENIS;;;3/08/2017 0:00;COLOMBIA;BUCARAMANGA;;
GOLF;DEPORTIVO;DEPORTIVO;3/06/2017 0:00;COLOMBIA;MANIZALES;;
AUTOMOVILISMO;DEPORTIVO;DEPORTIVO;3/05/2017 0:00;COLOMBIA;TOCANCIPA;;
AUTOMOVILISMO;DEPORTIVO;DEPORTIVO;3/05/2017 0:00;COLOMBIA;CHIA;;
JIU-JITSU;DEPORTIVO;DEPORTIVO;3/05/2017 0:00;ESTADOS UNIDOS;IRVIN;;
AUTOMOVILISMO;DEPORTIVO;DEPORTIVO;3/04/2017 0:00;COLOMBIA;TOCANCIPA;;
AUTOMOVILISMO;DEPORTIVO;DEPORTIVO;3/04/2017 0:00;COLOMBIA;CALI;;
MOTONAUTICA;DEPORTIVO;DEPORTIVO;3/04/2017 0:00;MONACO;;;
GOLF;DEPORTIVO;DEPORTIVO;3/03/2017 0:00;COLOMBIA;CALI;;
GOLF;DEPORTIVO;DEPORTIVO;3/03/2017 0:00;COLOMBIA;CALI;;
KARATE;DEPORTIVO;DEPORTIVO;3/03/2017 0:00;HOLANDA;ROTTERDAM;;
TIRO FOSA OLIMPICA; DOBLE TRAP Y SKEET;DEPORTIVO;DEPORTIVO;3/03/2017 0:00;COLOMBIA;;
ARQUERIA;DEPORTIVO;DEPORTIVO;3/02/2017 0:00;COLOMBIA;CALI;;
KARATE;CONCENTRACIÃ“N;CONCENTRACIÃ“N;3/02/2017 0:00;COLOMBIA;CALI;;
BALONCESTO;;;3/01/2017 0:00;COLOMBIA;VARIAS CIUDADES;;
DEPORTES AÃ‰REOS;DEPORTIVO;DEPORTIVO;3/01/2017 0:00;ANTIOQUIA;JERICO - ANTIOQUIA;;
JIU-JITSU;DEPORTIVO;DEPORTIVO;3/01/2017 0:00;COLOMBIA;AGUA DE DIOS;;
JUDO;CONCENTRACIÃ“N;CONCENTRACIÃ“N;3/01/2017 0:00;COLOMBIA;BOGOTA;;
TENIS;;;02/28/2017 12:00:00 AM;COLOMBIA;BOGOTA;;
GOLF;DEPORTIVO;DEPORTIVO;02/23/2017 12:00:00 AM;COLOMBIA;BOGOTÃ;;
SAMBO;DEPORTIVO;DEPORTIVO;02/23/2017 12:00:00 AM;COLOMBIA;CALI;;
TIRO RIFLES;DEPORTIVO;DEPORTIVO;02/23/2017 12:00:00 AM;COLOMBIA;CALI;;
TENIS;;;02/22/2017 12:00:00 AM;COLOMBIA;MAR DEL PLATA;;
JIU-JITSU;DEPORTIVO;DEPORTIVO;02/20/2017 12:00:00 AM;COLOMBIA;AGUA DE DIOS;;
TENIS;;;02/20/2017 12:00:00 AM;ARGENTINA;PORTO ALEGRE;;
ATLETISMO;DEPORTIVO;DEPORTIVO;02/19/2017 12:00:00 AM;CHILE;SANTIAGO DE CHILE;;
AUTOMOVILISMO;DEPORTIVO;DEPORTIVO;02/19/2017 12:00:00 AM;COLOMBIA;TOCANCIPA;;
BOWLING;;;02/19/2017 12:00:00 AM;EEUU;LAS VEGAS;;
AUTOMOVILISMO;DEPORTIVO;DEPORTIVO;02/18/2017 12:00:00 AM;COLOMBIA;MEDELLIN;;
RUGBY;DEPORTIVO;DEPORTIVO;02/18/2017 12:00:00 AM;ARGENTINA;POPAYAN;;
KARTS;DEPORTIVO;DEPORTIVO;02/17/2017 12:00:00 AM;MIAMI - EEUU;FEBRERO 17 AL 19;;
LUCHA;DEPORTIVO;DEPORTIVO;02/17/2017 12:00:00 AM;SUECIA;KLIPPAN;;
TIRO TRAP AUTOMATICO;DEPORTIVO;DEPORTIVO;02/17/2017 12:00:00 AM;COLOMBIA;CALI;;
SAMBO;DEPORTIVO;DEPORTIVO;02/16/2017 12:00:00 AM;COLOMBIA;CALI;;
AUTOMOVILISMO;NACIONAL;NACIONAL;12/01/2016 0:00;COLOMBIA;AUTODROMO DE TOCANCIPA;;
BOXEO;DEPORTIVO;DEPORTIVO;02/15/2017 12:00:00 AM;SANTIAGO, REPÃšBLICA DOMINICANA;SANTIAGO, REPÃšBLICA DOMINICANA;;
LUCHA;DEPORTIVO;DEPORTIVO;02/15/2017 12:00:00 AM;UCRANIA;KIEV;;
LUCHA;DEPORTIVO;DEPORTIVO;02/13/2017 12:00:00 AM;CAMAGUEY;CUBA;;
TENIS;;;2/11/2017 0:00;BRASIL;ARMENIA;;
TENIS;;;2/11/2017 0:00;BRASIL;PORTO ALEGRE;;
ARQUERIA;DEPORTIVO;DEPORTIVO;2/10/2017 0:00;USA;LAS VEGAS;;
GOLF;DEPORTIVO;DEPORTIVO;2/09/2017 0:00;COLOMBIA;BOGOTÃ;;
GOLF;DEPORTIVO;DEPORTIVO;2/09/2017 0:00;COLOMBIA;BOGOTÃ;;
TENIS;;;2/08/2017 0:00;COLOMBIA;METEPEC;;
LUCHA;DEPORTIVO;DEPORTIVO;2/07/2017 0:00;BIELORUSIA;MINK;;
TENIS;;;2/07/2017 0:00;MEXICO;SAO SIMAO;;
ARQUERIA;ACADÃ‰MICO;ACADÃ‰MICO;2/06/2017 0:00;COLOMBIA;MEDELLÃN;;
KARATE;;;2/06/2017 0:00;COLOMBIA;BOGOTÃ;;
SQUASH;;;2/06/2017 0:00;PARAGUAY;BOGOTA;;
JIU-JITSU;DEPORTIVO;DEPORTIVO;2/04/2017 0:00;COLOMBIA;BOGOTA;;
TENIS;;;2/04/2017 0:00;BRASIL;ASUNCIÃ“N;;
TENIS;;;2/04/2017 0:00;BRASIL;CAXIAS DO SUL;;
GOLF;DEPORTIVO;DEPORTIVO;2/03/2017 0:00;COLOMBIA;CALI;;
GOLF;DEPORTIVO;DEPORTIVO;2/03/2017 0:00;COLOMBIA;BOGOTÃ;;
LUCHA;DEPORTIVO;DEPORTIVO;2/03/2017 0:00;AUSTRIA;WOLFURT;;
GOLF;DEPORTIVO;DEPORTIVO;2/02/2017 0:00;CHILE;VIÃ‘A DEL MAR;;
BALONCESTO;;;2/01/2017 0:00;COLOMBIA;BOGOTA;;
LUCHA;DEPORTIVO;DEPORTIVO;2/01/2017 0:00;BULGARIA;SOFIA;;
LUCHA;DEPORTIVO;DEPORTIVO;01/31/2017 12:00:00 AM;USA;COLORADO SPRING;;
TENIS;;;01/28/2017 12:00:00 AM;PARAGUAY;CUCUTA;;
TENIS;;;01/28/2017 12:00:00 AM;PARAGUAY;ASUNCIÃ“N;;
SAMBO;ACADÃ‰MICO;ACADÃ‰MICO;01/26/2017 12:00:00 AM;COLOMBIA;PARIS;;
TENIS DE MESA;ACADÃ‰MICO;ACADÃ‰MICO;01/26/2017 12:00:00 AM;MAYORES;CALI;;
TENIS;;;01/25/2017 12:00:00 AM;COLOMBIA;IBARRA;;
ARQUERIA;ACADÃ‰MICO;ACADÃ‰MICO;01/23/2017 12:00:00 AM;BOLIVIA;TARIJA,;;
GOLF;DEPORTIVO;DEPORTIVO;01/23/2017 12:00:00 AM;COLOMBIA;BOGOTÃ;;
TENIS;;;01/21/2017 12:00:00 AM;ECUADOR;VALENCIA;;
TENIS;;;01/21/2017 12:00:00 AM;ECUADOR;GUAYAQUIL;;
ARQUERIA;DEPORTIVO;DEPORTIVO;01/20/2017 12:00:00 AM;FRANCIA;NIMES;;
LUCHA;DEPORTIVO;DEPORTIVO;01/20/2017 12:00:00 AM;FRANCIA;PARIS;;
GOLF;DEPORTIVO;DEPORTIVO;01/17/2017 12:00:00 AM;PERÃš;LIMA;;
CANOTAJE;;;01/16/2017 12:00:00 AM;PAIPA,;BOYACA;;
GOLF;DEPORTIVO;DEPORTIVO;01/16/2017 12:00:00 AM;ARGENTINA;PILAR;;
DEPORTES AÃ‰REOS;;;01/15/2017 12:00:00 AM;MEXICO;VALLE DE BRAVO - MEXICO;;
TENIS;;;01/14/2017 12:00:00 AM;COLOMBIA;;;
TENIS;;;01/14/2017 12:00:00 AM;COLOMBIA;CALI;;
GOLF;DEPORTIVO;DEPORTIVO;1/11/2017 0:00;COLOMBIA;MEDELLÃN;;
GOLF;DEPORTIVO;DEPORTIVO;1/11/2017 0:00;COLOMBIA;BOGOTÃ;;
LUCHA;DEPORTIVO;DEPORTIVO;1/11/2017 0:00;FRANCIA;PARIS;;
GOLF;DEPORTIVO;DEPORTIVO;1/10/2017 0:00;COLOMBIA;BOGOTÃ;;
GOLF;DEPORTIVO;DEPORTIVO;1/10/2017 0:00;PUERTO RICO;RÃO GRANDE;;
TENIS;;;1/07/2017 0:00;VENEZUELA;BARRANQUILLA;;
GOLF;DEPORTIVO;DEPORTIVO;1/05/2017 0:00;MÃ‰XICO;POR DEFINIR;;
GOLF;DEPORTIVO;DEPORTIVO;1/03/2017 0:00;PANAMÃ;CIUDAD DE PANAMÃ;;
RUGBY;DEPORTIVO;DEPORTIVO;1/02/2017 0:00;URUGUAY;HONG KONG;;
ARQUERIA;DEPORTIVO;DEPORTIVO;1/01/2017 0:00;AMERICA;DESCENTRALIZADO;;
BAILE DEPORTIVO;SHOWDANCE BAILE DEPORTIVO;SHOWDANCE BAILE DEPORTIVO;12/26/2016 12:00:00 AM;CALI;CALI;;
ESGRIMA;CALENDARIO NACIONAL;CALENDARIO NACIONAL;12/17/2016 12:00:00 AM;COLOMBIA;POR ASIGNAR;;
BRIDGE;NACIONAL;NACIONAL;12/14/2016 12:00:00 AM;COLOMBIA;BOGOTA;;
BRIDGE;NACIONAL;NACIONAL;12/08/2016 0:00;COLOMBIA;BOGOTA;;
ESGRIMA;CALENDARIO NACIONAL;CALENDARIO NACIONAL;12/08/2016 0:00;COLOMBIA;MEDELLIN;;
AJEDREZ;NACIONAL;NACIONAL;12/07/2016 0:00;COLOMBIA;MONTERIA;;
AJEDREZ;NACIONAL;NACIONAL;12/07/2016 0:00;COLOMBIA;BOGOTÃ;;
BOXEO;OTRO INTERNACIONAL;OTRO INTERNACIONAL;12/07/2016 0:00;BARBADOS;A CONFIRMAR;;
ECUESTRE;NACIONAL;NACIONAL;12/02/2016 0:00;COLOMBIA;BOGOTA RANCHO;;
AJEDREZ;CAMPEONATO SURAMERICANO;CAMPEONATO SURAMERICANO;12/01/2016 0:00;SURINAM;PARAMARIBO;;
AJEDREZ;OTRO INTERNACIONAL;OTRO INTERNACIONAL;12/01/2016 0:00;MÃ‰XICO;;;
AJEDREZ;CAMPEONATO PANAMERICANO;CAMPEONATO PANAMERICANO;12/01/2016 0:00;BOLIVIA;;;
AJEDREZ;CAMPEONATO PANAMERICANO;CAMPEONATO PANAMERICANO;12/01/2016 0:00;HONDURAS;;;
AUTOMOVILISMO;NACIONAL;NACIONAL;12/01/2016 0:00;COLOMBIA;AUTODROMO DE TOCANCIPA;;
AUTOMOVILISMO;NACIONAL;NACIONAL;12/01/2016 0:00;COLOMBIA;AUTODROMO DE TOCANCIPA;;
ECUESTRE;NACIONAL;NACIONAL;12/01/2016 0:00;COLOMBIA;BOGOTA EEEE;;
GIMNASIA;OTRO INTERNACIONAL;OTRO INTERNACIONAL;12/01/2016 0:00;POR DEFINIR;POR DEFINIR;;
GIMNASIA;OTRO INTERNACIONAL;OTRO INTERNACIONAL;12/01/2016 0:00;POR DEFINIR;POR DEFINIR;;
GOLF;NACIONAL;NACIONAL;12/01/2016 0:00;COLOMBIA;B/QUILLA;;
GOLF;NACIONAL;NACIONAL;12/01/2016 0:00;COLOMBIA;MEDELLIN;;
KARATE;GRAN PRIX INTERNACIONAL;GRAN PRIX INTERNACIONAL;12/01/2016 0:00;JAPON;TOKIO;;
LUCHA;NACIONAL;NACIONAL;12/01/2016 0:00;COLOMBIA;ARJONA-BOLIVAR;;
LUCHA;NACIONAL;NACIONAL;12/01/2016 0:00;COLOMBIA;MEDELLIN-ANTIOQUIA;;
MOTOCICLISMO;NACIONAL;NACIONAL;12/01/2016 0:00;COLOMBIA;TOCANCIPA;;
MOTONAUTICA;NACIONAL;NACIONAL;12/01/2016 0:00;COLOMBIA;PRADO - TOLIMA;;
NATACION;NACIONAL;NACIONAL;12/01/2016 0:00;COLOMBIA;IBAGUÃ‰;;
NATACION;NACIONAL;NACIONAL;12/01/2016 0:00;COLOMBIA;MEDELLÃN;;
NATACION;NACIONAL;NACIONAL;12/01/2016 0:00;COLOMBIA;MEDELLÃN;;
NATACION;NACIONAL;NACIONAL;12/01/2016 0:00;COLOMBIA;CALI;;
NATACION;NACIONAL;NACIONAL;12/01/2016 0:00;COLOMBIA;CALI;;
NATACION;NACIONAL;NACIONAL;12/01/2016 0:00;COLOMBIA;GIRARDOT;;
NATACION;NACIONAL;NACIONAL;12/01/2016 0:00;COLOMBIA;GIRARDOT;;
NATACION;NACIONAL;NACIONAL;12/01/2016 0:00;COLOMBIA;CÃšCUTA;;
NATACION;CAMPEONATO MUNDIAL;CAMPEONATO MUNDIAL;12/01/2016 0:00;CANADÃ;WINDSOR;;
NATACION;OTRO INTERNACIONAL;OTRO INTERNACIONAL;12/01/2016 0:00;COLOMBIA;MEDELLÃN;;
PATINAJE;NACIONAL;NACIONAL;12/01/2016 0:00;COLOMBIA;BOGOTA, MANIZALEZ, MEDELLIN, BARRANQUILLA, CALI;;
PATINAJE;NACIONAL;NACIONAL;12/01/2016 0:00;COLOMBIA;POR DEFINIR;;
PATINAJE;NACIONAL;NACIONAL;12/01/2016 0:00;COLOMBIA;POR DEFINIR;;
PATINAJE;OTRO INTERNACIONAL;OTRO INTERNACIONAL;12/01/2016 0:00;COLOMBIA;POR DEFINIR;;
PATINAJE;NACIONAL;NACIONAL;12/01/2016 0:00;COLOMBIA;POR DEFINIR;;
PATINAJE;NACIONAL;NACIONAL;12/01/2016 0:00;COLOMBIA;BOGOTA;;
PATINAJE;NACIONAL;NACIONAL;12/01/2016 0:00;COLOMBIA;POR DEFINIR;;
TAEKWONDO;NACIONAL;NACIONAL;12/01/2016 0:00;COLOMBIA;CARTAGENA;;
TAEKWONDO;NACIONAL;NACIONAL;12/01/2016 0:00;COLOMBIA;CARTAGENA;;
TENIS;INTERNACIONAL;INTERNACIONAL;12/01/2016 0:00;FRANCIA;FRANCIA;;
TENIS;OTRO INTERNACIONAL;OTRO INTERNACIONAL;12/01/2016 0:00;COLOMBIA;CUNDINAMARCA;;
TENIS;OTRO INTERNACIONAL;OTRO INTERNACIONAL;12/01/2016 0:00;COLOMBIA;CALI;;
